Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Arsenal,1–3,Paris Saint-Germain,0–1,1–2
Barcelona,6–7,Inter Milan,3–3,3–4 (a.e.t.)
