Home team,Score,Away team
Milan,3–1,Club Brugge
Monaco,5–1,Red Star Belgrade
Arsenal,1–0,Shakhtar Donetsk
Aston Villa,2–0,Bologna
Girona,2–0,Slovan Bratislava
Juventus,0–1,VfB Stuttgart
Paris Saint-Germain,1–1,PSV Eindhoven
Real Madrid,5–2,Borussia Dortmund
Sturm Graz,0–2,Sporting CP
Atalanta,0–0,Celtic
Brest,1–1,Bayer Leverkusen
Atlético Madrid,1–3,Lille
Young Boys,0–1,Inter Milan
Barcelona,4–1,Bayern Munich
Red Bull Salzburg,0–2,Dinamo Zagreb
Manchester City,5–0,Sparta Prague
RB Leipzig,0–1,Liverpool
Benfica,1–3,Feyenoord
