Rank[25],Player,Team,Goals,Minutes played
1,Serhou Guirassy,Borussia Dortmund,13,1084
1,Raphinha,Barcelona,13,1225
3,Robert Lewandowski,Barcelona,11,985
3,Harry Kane,Bayern Munich,11,1120
5,Lautaro Martínez,Inter Milan,9,857
6,Erling Haaland,Manchester City,8,771
6,Vinícius Júnior,Real Madrid,8,1104
6,Ousmane Dembélé,Paris Saint-Germain,8,1163
9,Jonathan David,Lille,7,746
9,Julián Alvarez,Atlético Madrid,7,790
9,Vangelis Pavlidis,Benfica,7,905
9,Kylian Mbappé,Real Madrid,7,1132
