Home team,Score,Away team
Sparta Prague,0–6,Atlético Madrid
Slovan Bratislava,2–3,Milan
Bayer Leverkusen,5–0,Red Bull Salzburg
Young Boys,1–6,Atalanta
Barcelona,3–0,Brest
Bayern Munich,1–0,Paris Saint-Germain
Inter Milan,1–0,RB Leipzig
Manchester City,3–3,Feyenoord
Sporting CP,1–5,Arsenal
Red Star Belgrade,5–1,VfB Stuttgart
Sturm Graz,1–0,Girona
Monaco,2–3,Benfica
Aston Villa,0–0,Juventus
Bologna,1–2,Lille
Celtic,1–1,Club Brugge
Dinamo Zagreb,0–3,Borussia Dortmund
Liverpool,2–0,Real Madrid
PSV Eindhoven,3–2,Shakhtar Donetsk
