Home team,Score,Away team
Girona,0–1,Liverpool
Dinamo Zagreb,0–0,Celtic
Atalanta,2–3,Real Madrid
Bayer Leverkusen,1–0,Inter Milan
Club Brugge,2–1,Sporting CP
Red Bull Salzburg,0–3,Paris Saint-Germain
Shakhtar Donetsk,1–5,Bayern Munich
RB Leipzig,2–3,Aston Villa
Brest,1–0,PSV Eindhoven
Atlético Madrid,3–1,Slovan Bratislava
Lille,3–2,Sturm Graz
Milan,2–1,Red Star Belgrade
Arsenal,3–0,Monaco
Borussia Dortmund,2–3,Barcelona
Feyenoord,4–2,Sparta Prague
Juventus,2–0,Manchester City
Benfica,0–0,Bologna
VfB Stuttgart,5–1,Young Boys
