Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Paris Saint-Germain,5–4,Aston Villa,3–1,2–3
Arsenal,5–1,Real Madrid,3–0,2–1
Barcelona,5–3,Borussia Dortmund,4–0,1–3
Bayern Munich,3–4,Inter Milan,1–2,2–2
