Home team,Score,Away team
Monaco,1–0,Aston Villa
Atalanta,5–0,Sturm Graz
Atlético Madrid,2–1,Bayer Leverkusen
Bologna,2–1,Borussia Dortmund
Club Brugge,0–0,Juventus
Red Star Belgrade,2–3,PSV Eindhoven
Liverpool,2–1,Lille
Slovan Bratislava,1–3,VfB Stuttgart
Benfica,4–5,Barcelona
Shakhtar Donetsk,2–0,Brest
RB Leipzig,2–1,Sporting CP
Milan,1–0,Girona
Sparta Prague,0–1,Inter Milan
Arsenal,3–0,Dinamo Zagreb
Celtic,1–0,Young Boys
Feyenoord,3–0,Bayern Munich
Paris Saint-Germain,4–2,Manchester City
Real Madrid,5–1,Red Bull Salzburg
