Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,LEV,LYO,FEN
1,Barcelona,6,5,0,1,12,5,+7,15,Advance to second group stage,,—,2–1,2–0,1–0
2,Bayer Leverkusen,6,4,0,2,10,9,+1,12,Advance to second group stage,,2–1,—,2–4,2–1
3,Lyon,6,3,0,3,10,9,+1,9,Transfer to UEFA Cup,,2–3,0–1,—,3–1
4,Fenerbahçe,6,0,0,6,3,12,−9,0,,,0–3,1–2,0–1,—
