Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,JUV,POR,CEL,ROS
1,Juventus,6,3,2,1,11,8,+3,11,Advance to second group stage,,—,3–1,3–2,1–0
2,Porto,6,3,1,2,7,5,+2,10,Advance to second group stage,,0–0,—,3–0,1–0
3,Celtic,6,3,0,3,8,11,−3,9,Transfer to UEFA Cup,,4–3,1–0,—,1–0
4,Rosenborg,6,1,1,4,4,6,−2,4,,,1–1,1–2,2–0,—
