Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,ROM,LMO,AND
1,Real Madrid,6,4,1,1,13,5,+8,13,Advance to second group stage,,—,1–1,4–0,4–1
2,Roma,6,2,3,1,6,5,+1,9,Advance to second group stage,,1–2,—,2–1,1–1
3,Lokomotiv Moscow,6,2,1,3,9,9,0,7,Transfer to UEFA Cup,,2–0,0–1,—,1–1
4,Anderlecht,6,0,3,3,4,13,−9,3,,,0–2,0–0,1–5,—
