Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,NAN,GAL,PSV,LAZ
1,Nantes,6,3,2,1,8,3,+5,11,Advance to second group stage,,—,0–1,4–1,1–0
2,Galatasaray,6,3,1,2,5,4,+1,10,Advance to second group stage,,0–0,—,2–0,1–0
3,PSV Eindhoven,6,2,1,3,6,9,−3,7,Transfer to UEFA Cup,,0–0,3–1,—,1–0
4,Lazio,6,2,0,4,4,7,−3,6,,,1–3,1–0,2–1,—
