Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LIV,BOA,DOR,DKV
1,Liverpool,6,3,3,0,7,3,+4,12,Advance to second group stage,,—,1–1,2–0,1–0
2,Boavista,6,2,2,2,8,7,+1,8,Advance to second group stage,,1–1,—,2–1,3–1
3,Borussia Dortmund,6,2,2,2,6,7,−1,8,Transfer to UEFA Cup,,0–0,2–1,—,1–0
4,Dynamo Kyiv,6,1,1,4,5,9,−4,4,,,1–2,1–0,2–2,—
