Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,PAN,SPP,POR
1,Real Madrid,6,5,1,0,14,5,+9,16,Advance to knockout stage,,—,3–0,3–0,1–0
2,Panathinaikos,6,2,2,2,7,8,−1,8,Advance to knockout stage,,2–2,—,2–1,0–0
3,Sparta Prague,6,2,0,4,6,10,−4,6,,,2–3,0–2,—,2–0
4,Porto,6,1,1,4,3,7,−4,4,,,1–2,2–1,0–1,—
