Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,BAY,BOA,NAN
1,Manchester United,6,3,3,0,13,3,+10,12,Advance to knockout stage,,—,0–0,3–0,5–1
2,Bayern Munich,6,3,3,0,5,2,+3,12,Advance to knockout stage,,1–1,—,1–0,2–1
3,Boavista,6,1,2,3,2,8,−6,5,,,0–3,0–0,—,1–0
4,Nantes,6,0,2,4,4,11,−7,2,,,1–1,0–1,1–1,—
