Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Mechelen,0–2,Milan,0–0,0–2 (aet)
Bayern Münich,3–1,PSV Eindhoven,2–1,1–0
CSKA Sofia,1–4,Marseille,0–1,1–3
Benfica,4–0,Dnipro Dnipropetrovsk,1–0,3–0
