Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Zürich,3–0,TPS,2–0,1–0
Ferencváros,1–4,Dynamo Dresden,1–0,0–4
Saint-Étienne,1–0,PSV Eindhoven,1–0,0–0
Trabzonspor,1–3,Liverpool,1–0,0–3
Baník Ostrava,2–6,Bayern Munich,2–1,0–5
Dynamo Kyiv,6–0,PAOK,4–0,2–0
Torino,1–2,Borussia Mönchengladbach,1–2,0–0
Real Madrid,0–2,Club Brugge,0–0,0–2
