Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Zürich,4–4 (a),Dynamo Dresden,2–1,2–3
Saint-Étienne,2–3,Liverpool,1–0,1–3
Bayern Munich,1–2,Dynamo Kyiv,1–0,0–2
Borussia Mönchengladbach,3–2,Club Brugge,2–2,1–0
