Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Rangers,1–2,Zürich,1–1,0–1
Sliema Wanderers,2–2 (a),TPS,2–1,0–1
Ferencváros,11–3,Jeunesse Esch,5–1,6–2
Dynamo Dresden,2–0,Benfica,2–0,0–0
CSKA Sofia,0–1,Saint-Étienne,0–0,0–1
Dundalk,1–7,PSV Eindhoven,1–1,0–6
ÍA,3–6,Trabzonspor,1–3,2–3
Liverpool,7–0,Crusaders,2–0,5–0
Viking,2–3,Baník Ostrava,2–1,0–2
Køge,1–7,Bayern Munich,0–5,1–2
Dynamo Kyiv,5–0,Partizan,3–0,2–0
Omonia,1–3,PAOK,0–2,1–1
Torino,3–2,Malmö FF,2–1,1–1
Austria Vienna,1–3,Borussia Mönchengladbach,1–0,0–3
Stal Mielec,1–3,Real Madrid,1–2,0–1
Club Brugge,3–2,Steaua București,2–1,1–1
