0,1,2,3
Austria Vienna (1st),Club Brugge (1st),CSKA Sofia (1st),Omonia (1st)
Baník Ostrava (1st),Køge (1st),Liverpool (1st),TPS (1st)
Saint-Étienne (1st),Dynamo Dresden (1st),Borussia Mönchengladbach (1st),Bayern Munich (3rd)TH
PAOK (1st),Ferencváros (1st),ÍA (1st),Dundalk (1st)
Torino (1st),Jeunesse Esch (1st),Sliema Wanderers (1st),PSV Eindhoven (1st)
Crusaders (1st),Viking (1st),Stal Mielec (1st),Benfica (1st)
Steaua București (1st),Rangers (1st),Real Madrid (1st),Malmö FF (1st)
Zürich (1st),Trabzonspor (1st),Dynamo Kyiv (1st),Partizan (1st)
