Rank,Player,Team,Goals
1,Franco Cucinotta,Zürich,5
1,Gerd Müller,Bayern Munich,5
3,Kevin Keegan,Liverpool,4
3,René van de Kerkhof,PSV Eindhoven,4
3,Phil Neal,Liverpool,4
3,Tibor Nyilasi,Ferencváros,4
3,Conny Torstensson,Bayern Munich,4
8,Leonid Buryak,Dynamo Kyiv,3
8,Steve Heighway,Liverpool,3
8,David Johnson,Liverpool,3
8,Hans-Jürgen Kreische,Dynamo Dresden,3
8,Peter Risi,Zürich,3
8,Petro Slobodyan,Dynamo Kyiv,3
