Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,DOR,PAR,MIL,NEW
1,Borussia Dortmund,6,3,2,1,7,4,+3,11,Advance to knockout phase,,—,1–1,0–0,2–0
2,Paris Saint-Germain,6,2,2,2,9,8,+1,8[a],Advance to knockout phase,,2–0,—,3–0,1–1
3,Milan,6,2,2,2,5,8,−3,8[a],Transfer to Europa League,,1–3,2–1,—,0–0
4,Newcastle United,6,1,2,3,6,7,−1,5,,,0–1,4–1,1–2,—
