Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RSO,INT,BEN,SAL
1,Real Sociedad,6,3,3,0,7,2,+5,12[a],Advance to knockout phase,,—,1–1,3–1,0–0
2,Inter Milan,6,3,3,0,8,5,+3,12[a],Advance to knockout phase,,0–0,—,1–0,2–1
3,Benfica,6,1,1,4,7,11,−4,4[b],Transfer to Europa League,,0–1,3–3,—,0–2
4,Red Bull Salzburg,6,1,1,4,4,8,−4,4[b],,,0–2,0–1,1–3,—
