Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ARS,PSV,LEN,SEV
1,Arsenal,6,4,1,1,16,4,+12,13,Advance to knockout phase,,—,4–0,6–0,2–0
2,PSV Eindhoven,6,2,3,1,8,10,−2,9,Advance to knockout phase,,1–1,—,1–0,2–2
3,Lens,6,2,2,2,6,11,−5,8,Transfer to Europa League,,2–1,1–1,—,2–1
4,Sevilla,6,0,2,4,7,12,−5,2,,,1–2,2–3,1–1,—
