Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,CPH,GAL,MUN
1,Bayern Munich,6,5,1,0,12,6,+6,16,Advance to knockout phase,,—,0–0,2–1,4–3
2,Copenhagen,6,2,2,2,8,8,0,8,Advance to knockout phase,,1–2,—,1–0,4–3
3,Galatasaray,6,1,2,3,10,13,−3,5,Transfer to Europa League,,1–3,2–2,—,3–3
4,Manchester United,6,1,1,4,12,15,−3,4,,,0–1,1–0,2–3,—
