Phase,Round,Draw date,First leg,Second leg
Qualifying,Preliminary round,13 June 2023,27 June 2023 (semi-finals),30 June 2023 (final)
Qualifying,First qualifying round,20 June 2023,11–12 July 2023,18–19 July 2023
Qualifying,Second qualifying round,21 June 2023,25–26 July 2023,1–2 August 2023
Qualifying,Third qualifying round,24 July 2023,8–9 & 15 August 2023,15 & 19 August 2023
Play-offs,Play-off round,7 August 2023,22–23 August 2023,29–30 August 2023
Group stage,Matchday 1,31 August 2023,19–20 September 2023,19–20 September 2023
Group stage,Matchday 2,31 August 2023,3–4 October 2023,3–4 October 2023
Group stage,Matchday 3,31 August 2023,24–25 October 2023,24–25 October 2023
Group stage,Matchday 4,31 August 2023,7–8 November 2023,7–8 November 2023
Group stage,Matchday 5,31 August 2023,28–29 November 2023,28–29 November 2023
Group stage,Matchday 6,31 August 2023,12–13 December 2023,12–13 December 2023
Knockout phase,Round of 16,18 December 2023,13–14 & 20–21 February 2024,5–6 & 12–13 March 2024
Knockout phase,Quarter-finals,15 March 2024,9–10 April 2024,16–17 April 2024
Knockout phase,Semi-finals,15 March 2024,30 April – 1 May 2024,7–8 May 2024
Knockout phase,Final,15 March 2024,"1 June 2024 at Wembley Stadium, London","1 June 2024 at Wembley Stadium, London"
