Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,POR,SHK,ANT
1,Barcelona,6,4,0,2,12,6,+6,12[a],Advance to knockout phase,,—,2–1,2–1,5–0
2,Porto,6,4,0,2,15,8,+7,12[a],Advance to knockout phase,,0–1,—,5–3,2–0
3,Shakhtar Donetsk,6,3,0,3,10,12,−2,9,Transfer to Europa League,,1–0,1–3,—,1–0
4,Antwerp,6,1,0,5,6,17,−11,3,,,3–2,1–4,2–3,—
