Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,NAP,BRA,UNB
1,Real Madrid,6,6,0,0,16,7,+9,18,Advance to knockout phase,,—,4–2,3–0,1–0
2,Napoli,6,3,1,2,10,9,+1,10,Advance to knockout phase,,2–3,—,2–0,1–1
3,Braga,6,1,1,4,6,12,−6,4,Transfer to Europa League,,1–2,1–2,—,1–1
4,Union Berlin,6,0,2,4,6,10,−4,2,,,2–3,0–1,2–3,—
