Rank[22],Player,Team,Goals,Minutes played
1,Harry Kane,Bayern Munich,8,1064
1,Kylian Mbappé,Paris Saint-Germain,8,1080
3,Erling Haaland,Manchester City,6,778
3,Antoine Griezmann,Atlético Madrid,6,821
3,Vinícius Júnior,Real Madrid,6,901
6,Joselu,Real Madrid,5,273
6,Julián Álvarez,Manchester City,5,279
6,Rasmus Højlund,Manchester United,5,489
6,Galeno,Porto,5,651
6,Álvaro Morata,Atlético Madrid,5,667
6,Phil Foden,Manchester City,5,684
6,Rodrygo,Real Madrid,5,1021
