Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Athletic Bilbao,5–6,Manchester United,5–3,0–3
Fiorentina,5–3,Grasshopper,3–1,2–2
Real Madrid,6–2,Nice,3–0,3–2
Red Star Belgrade,4–3,CDNA Sofia,3–1,1–2
