Rank,Player,Team,Goals
1,Dennis Viollet,Manchester United,9
2,Tommy Taylor,Manchester United,8
3,Alfredo Di Stéfano,Real Madrid,7
4,Alfred Preissler,Borussia Dortmund,6
5,José Luis Artetxe,Athletic Bilbao,5
5,Jacques Foix,Nice,5
5,Bora Kostić,Red Star Belgrade,5
8,Jacques Faivre,Nice,4
9,Marc Boreux,Spora Luxembourg,3
9,Ernst Happel,Rapid Wien,3
9,Joseíto,Real Madrid,3
9,Alfred Kelbassa,Borussia Dortmund,3
9,Enrique Mateos,Real Madrid,3
9,Armando Merodio,Athletic Bilbao,3
9,Panayot Panayotov,CDNA Sofia,3
9,Ivan Kolev,CDNA Sofia,3
9,Billy Whelan,Manchester United,3
