Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Anderlecht,9–0,Derry City,9–0,(w/o)[a]
Kilmarnock,3–7,Real Madrid,2–2,1–5
Dinamo București,2–3,Inter Milan,2–1,0–2
Ferencváros,3–1,Panathinaikos,0–0,3–1
Sparta Prague,5–1,Górnik Zabrze,3–0,2–1
Partizan,3–1,Werder Bremen,3–0,0–1
Vorwärts Berlin,1–5,Manchester United,0–2,1–3
Levski Sofia,4–5,Benfica,2–2,2–3
