Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Anderlecht,3–4,Real Madrid,1–0,2–4
Inter Milan,5–1,Ferencváros,4–0,1–1
Sparta Prague,4–6,Partizan,4–1,0–5
Manchester United,8–3,Benfica,3–2,5–1
