Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
CDNA Sofia,3–7,Vasas,2–1,1–6,
Rangers,4–3,Saint-Étienne,3–1,1–2,
Stade Dudelange,1–14,Red Star Belgrade,0–5,1–9,
AGF,3–0,Glenavon,0–0,3–0,
Gwardia Warsaw,4–4 (ct),Wismut Karl-Marx-Stadt,3–1,1–3,1–1[a] (a.e.t.)
Sevilla,3–1,Benfica,3–1,0–0,
Shamrock Rovers,2–9[b],Manchester United,0–6,2–3,
Milan,6–6,Rapid Wien,4–1,2–5,4–2
