Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Manchester United,5–4,Red Star Belgrade,2–1,3–3
Real Madrid,10–2,Sevilla,8–0,2–2
Ajax,2–6,Vasas,2–2,0–4
Borussia Dortmund,2–5,Milan,1–1,1–4
