Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Royal Antwerp,1–8,Real Madrid,1–2,0–6,
IFK Norrköping,3–4,Red Star Belgrade,2–2,1–2,
Wismut Karl-Marx-Stadt,1–4,Ajax,1–3,0–1,
Young Boys,2–3,Vasas,1–1,1–2,
Manchester United,3–1,Dukla Prague,3–0,0–1,
Sevilla,4–2,AGF,4–0,0–2,
Borussia Dortmund,5–5,CCA București,4–2,1–3,3–1
Rangers,1–6,Milan,1–4,0–2,
