Rank,Name,Team,Goals
1,Mick Jones,Leeds United,8
2,Ove Kindvall,Feyenoord,7
3,Ruud Geels,Feyenoord,6
4,Zoran Antonijević,Red Star Belgrade,5
4,Eusébio,Benfica,5
4,Stanislav Karasi,Red Star Belgrade,5
7,Jozef Adamec,Spartak Trnava,4
7,Lucjan Brychczy,Legia Warsaw,4
7,Henri Depireux,Standard Liège,4
7,Johnny Giles,Leeds United,4
7,Willem van Hanegem,Feyenoord,4
