Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Galatasaray,1–3,Legia Warsaw,1–1,0–2
Vorwärts Berlin,1–2,Feyenoord,1–0,0–2
Standard Liège,0–2,Leeds United,0–1,0–1
Celtic,3–1,Fiorentina,3–0,0–1
