Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,HER,GAL,MIL
1,Chelsea,6,3,2,1,10,3,+7,11,Advance to second group stage,,—,2–0,1–0,0–0
2,Hertha BSC,6,2,2,2,7,10,−3,8,Advance to second group stage,,2–1,—,1–4,1–0
3,Galatasaray,6,2,1,3,10,13,−3,7,Transfer to UEFA Cup,,0–5,2–2,—,3–2
4,Milan,6,1,3,2,6,7,−1,6,,,1–1,1–1,2–1,—
