Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,RMA,DKV,ROS
1,Bayern Munich,6,4,1,1,13,8,+5,13,Advance to knockout stage,,—,4–1,2–1,2–1
2,Real Madrid,6,3,1,2,11,12,−1,10,Advance to knockout stage,,2–4,—,2–2,3–1
3,Dynamo Kyiv,6,3,1,2,10,8,+2,10,,,2–0,1–2,—,2–1
4,Rosenborg,6,0,1,5,5,11,−6,1,,,1–1,0–1,1–2,—
