Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,FIO,ARS,AIK
1,Barcelona,6,4,2,0,19,9,+10,14,Advance to second group stage,,—,4–2,1–1,5–0
2,Fiorentina,6,2,3,1,9,7,+2,9,Advance to second group stage,,3–3,—,0–0,3–0
3,Arsenal,6,2,2,2,9,9,0,8,Transfer to UEFA Cup,,2–4,0–1,—,3–1
4,AIK,6,0,1,5,4,16,−12,1,,,1–2,0–0,2–3,—
