Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,SPP,BOR,SPM,WIL
1,Sparta Prague,6,3,3,0,14,6,+8,12,Advance to second group stage,,—,0–0,5–2,4–0
2,Bordeaux,6,3,3,0,7,4,+3,12,Advance to second group stage,,0–0,—,2–1,3–2
3,Spartak Moscow,6,1,2,3,9,12,−3,5,Transfer to UEFA Cup,,1–1,1–2,—,1–1
4,Willem II,6,0,2,4,7,15,−8,2,,,3–4,0–0,1–3,—
