Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,POR,SPP,HER
1,Barcelona,6,5,1,0,17,5,+12,16,Advance to knockout stage,,—,4–2,5–0,3–1
2,Porto,6,3,1,2,8,8,0,10,Advance to knockout stage,,0–2,—,2–2,1–0
3,Sparta Prague,6,1,2,3,5,12,−7,5,,,1–2,0–2,—,1–0
4,Hertha BSC,6,0,2,4,3,8,−5,2,,,1–1,0–1,1–1,—
