Rank,Name,Team,Goals,Minutes played
1,Mário Jardel,Porto,10,1150
1,Rivaldo,Barcelona,10,1229
1,Raúl,Real Madrid,10,1350
4,Simone Inzaghi,Lazio,9,700
5,Serhiy Rebrov,Dynamo Kyiv,8,1061
5,Tore André Flo,Chelsea,8,1159
7,Paulo Sérgio,Bayern Munich,7,1007
7,Patrick Kluivert,Barcelona,7,1203
9,Luis Enrique,Barcelona,6,581
9,Gabriel Batistuta,Fiorentina,6,875
9,Roy Keane,Manchester United,6,1048
9,Fernando Morientes,Real Madrid,6,1129
