Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Real Madrid,3–2,Manchester United,0–0,3–2
Porto,2–3,Bayern Munich,1–1,1–2
Chelsea,4–6,Barcelona,3–1,1–5 (a.e.t.)
Valencia,5–3,Lazio,5–2,0–1
