Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LAZ,CHE,FEY,MAR
1,Lazio,6,3,2,1,10,4,+6,11,Advance to knockout stage,,—,0–0,1–2,5–1
2,Chelsea,6,3,1,2,8,5,+3,10,Advance to knockout stage,,1–2,—,3–1,1–0
3,Feyenoord,6,2,2,2,7,7,0,8,,,0–0,1–3,—,3–0
4,Marseille,6,1,1,4,2,11,−9,4,,,0–2,1–0,0–0,—
