Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,MAR,STM,CZG
1,Manchester United,6,4,1,1,9,4,+5,13,Advance to second group stage,,—,2–1,2–1,0–0
2,Marseille,6,3,1,2,10,8,+2,10,Advance to second group stage,,1–0,—,2–0,2–2
3,Sturm Graz,6,2,0,4,5,12,−7,6,Transfer to UEFA Cup,,0–3,3–2,—,1–0
4,Croatia Zagreb,6,1,2,3,7,7,0,5,,,1–2,1–2,3–0,—
