Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Cagliari,2–4,Atlético Madrid,2–1,0–3
Standard Liège,1–2,Legia Warsaw,1–0,0–2
Ajax,5–1,Basel,3–0,2–1
Waterford,2–10,Celtic,0–7,2–3
Carl Zeiss Jena,4–2,Sporting CP,2–1,2–1
Red Star Belgrade,6–1,UTA Arad,3–0,3–1
Borussia Mönchengladbach,2–2 (3–4 p),Everton,1–1,1–1
Panathinaikos,4–2,Slovan Bratislava,3–0,1–2
