Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Atlético Madrid,2–2 (a),Legia Warsaw,1–0,1–2
Ajax,3–1,Celtic,3–0,0–1
Carl Zeiss Jena,3–6,Red Star Belgrade,3–2,0–4
Everton,1–1 (a),Panathinaikos,1–1,0–0
