Rank,Name,Team,Goals
1,Antonis Antoniadis,Panathinaikos,10
2,Luis Aragonés,Atlético Madrid,6
2,Zoran Filipović,Red Star Belgrade,6
2,Stevan Ostojić,Red Star Belgrade,6
5,Herbert Laumen,Borussia Mönchengladbach,5
5,William Wallace,Celtic,5
7,Peter Ducke,Carl Zeiss Jena,4
7,Jimmy Johnstone,Celtic,4
7,Piet Keizer,Ajax,4
7,Horst Köppel,Borussia Mönchengladbach,4
7,João Lourenço,Sporting CP,4
7,Joe Royle,Everton,4
