Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ARS,PAR,LUD,BSL
1,Arsenal,6,4,2,0,18,6,+12,14,Advance to knockout phase,,—,2–2,6–0,2–0
2,Paris Saint-Germain,6,3,3,0,13,7,+6,12,Advance to knockout phase,,1–1,—,2–2,3–0
3,Ludogorets Razgrad,6,0,3,3,6,15,−9,3,Transfer to Europa League,,2–3,1–3,—,0–0
4,Basel,6,0,2,4,3,12,−9,2,,,1–4,1–2,1–1,—
