Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,20 June 2016,28–29 June 2016,5–6 July 2016
Qualifying,Second qualifying round,20 June 2016,12–13 July 2016,19–20 July 2016
Qualifying,Third qualifying round,15 July 2016,26–27 July 2016,2–3 August 2016
Play-off,Play-off round,5 August 2016,16–17 August 2016,23–24 August 2016
Group stage,Matchday 1,25 August 2016 (Monaco),13–14 September 2016,13–14 September 2016
Group stage,Matchday 2,25 August 2016 (Monaco),27–28 September 2016,27–28 September 2016
Group stage,Matchday 3,25 August 2016 (Monaco),18–19 October 2016,18–19 October 2016
Group stage,Matchday 4,25 August 2016 (Monaco),1–2 November 2016,1–2 November 2016
Group stage,Matchday 5,25 August 2016 (Monaco),22–23 November 2016,22–23 November 2016
Group stage,Matchday 6,25 August 2016 (Monaco),6–7 December 2016,6–7 December 2016
Knockout phase,Round of 16,12 December 2016,14–15 & 21–22 February 2017,7–8 & 14–15 March 2017
Knockout phase,Quarter-finals,17 March 2017,11–12 April 2017,18–19 April 2017
Knockout phase,Semi-finals,21 April 2017,2–3 May 2017,9–10 May 2017
Knockout phase,Final,21 April 2017,"3 June 2017 at Millennium Stadium, Cardiff","3 June 2017 at Millennium Stadium, Cardiff"
