Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,DOR,RMA,LEG,SPO
1,Borussia Dortmund,6,4,2,0,21,9,+12,14,Advance to knockout phase,,—,2–2,8–4,1–0
2,Real Madrid,6,3,3,0,16,10,+6,12,Advance to knockout phase,,2–2,—,5–1,2–1
3,Legia Warsaw,6,1,1,4,9,24,−15,4,Transfer to Europa League,,0–6,3–3,—,1–0
4,Sporting CP,6,1,0,5,5,8,−3,3,,,1–2,1–2,2–0,—
