Rank[48],Player,Team,Goals,Minutes played
1,Cristiano Ronaldo,Real Madrid,12,1200
2,Lionel Messi,Barcelona,11,810
3,Edinson Cavani,Paris Saint-Germain,8,720
3,Robert Lewandowski,Bayern Munich,8,794
5,Pierre-Emerick Aubameyang,Borussia Dortmund,7,708
6,Kylian Mbappé,Monaco,6,536
6,Antoine Griezmann,Atlético Madrid,6,1068
8,Sergio Agüero,Manchester City,5,541
8,Dries Mertens,Napoli,5,571
8,Radamel Falcao,Monaco,5,666
8,Karim Benzema,Real Madrid,5,954
8,Gonzalo Higuaín,Juventus,5,1039
