Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Luka Modrić[3],Real Madrid,225
2,Toni Kroos,Real Madrid,164
3,Casemiro,Real Madrid,38
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Miralem Pjanić,Juventus,33
5,Thiago Alcântara,Bayern Munich,25
6,Bernardo Silva,Monaco,21
7,Andrés Iniesta,Barcelona,15
8,Fabinho,Monaco,12
9,Isco,Real Madrid,10
9,Arturo Vidal,Bayern Munich,10
