Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Atlético Madrid,2–1,Leicester City,1–0,1–1
Borussia Dortmund,3–6,Monaco,2–3,1–3
Bayern Munich,3–6,Real Madrid,1–2,2–4 (a.e.t.)
Juventus,3–0,Barcelona,3–0,0–0
