Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,NAP,BEN,BES,DKV
1,Napoli,6,3,2,1,11,8,+3,11,Advance to knockout phase,,—,4–2,2–3,0–0
2,Benfica,6,2,2,2,10,10,0,8,Advance to knockout phase,,1–2,—,1–1,1–0
3,Beşiktaş,6,1,4,1,9,14,−5,7,Transfer to Europa League,,1–1,3–3,—,1–1
4,Dynamo Kyiv,6,1,2,3,8,6,+2,5,,,1–2,0–2,6–0,—
