Rank[49],Player,Team,Assists,Minutes played
1,Neymar,Barcelona,8,797
2,Cristiano Ronaldo,Real Madrid,6,1200
3,Ousmane Dembélé,Borussia Dortmund,5,769
3,Dani Carvajal,Real Madrid,5,975
5,Benjamin Mendy,Monaco,4,525
5,Raheem Sterling,Manchester City,4,577
5,Eduardo Salvio,Benfica,4,628
5,Thomas Lemar,Monaco,4,895
