Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ATM,BAY,RST,PSV
1,Atlético Madrid,6,5,0,1,7,2,+5,15,Advance to knockout phase,,—,1–0,2–1,2–0
2,Bayern Munich,6,4,0,2,14,6,+8,12,Advance to knockout phase,,1–0,—,5–0,4–1
3,Rostov,6,1,2,3,6,12,−6,5,Transfer to Europa League,,0–1,3–2,—,2–2
4,PSV Eindhoven,6,0,2,4,4,11,−7,2,,,0–1,1–2,0–0,—
