Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,JUV,SEV,LYO,DZG
1,Juventus,6,4,2,0,11,2,+9,14,Advance to knockout phase,,—,0–0,1–1,2–0
2,Sevilla,6,3,2,1,7,3,+4,11,Advance to knockout phase,,1–3,—,1–0,4–0
3,Lyon,6,2,2,2,5,3,+2,8,Transfer to Europa League,,0–1,0–0,—,3–0
4,Dinamo Zagreb,6,0,0,6,0,15,−15,0,,,0–4,0–1,0–1,—
