Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MON,LEV,TOT,CSKA
1,Monaco,6,3,2,1,9,7,+2,11,Advance to knockout phase,,—,1–1,2–1,3–0
2,Bayer Leverkusen,6,2,4,0,8,4,+4,10,Advance to knockout phase,,3–0,—,0–0,2–2
3,Tottenham Hotspur,6,2,1,3,6,6,0,7,Transfer to Europa League,,1–2,0–1,—,3–1
4,CSKA Moscow,6,0,3,3,5,11,−6,3,,,1–1,1–1,0–1,—
