Rank[24],Player,Team,Goals,Minutes played
1,Ruud van Nistelrooy,Manchester United,8,528
2,Adriano,Internazionale,7,548
2,Roy Makaay,Bayern Munich,7,702
4,Sylvain Wiltord,Lyon,6,606
4,Hernán Crespo,Milan,6,612
4,Andriy Shevchenko,Milan,6,869
7,Ivan Klasnić,Werder Bremen,5,431
7,Obafemi Martins,Internazionale,5,510
7,Tuncay,Fenerbahçe,5,525
7,Didier Drogba,Chelsea,5,688
7,Thierry Henry,Arsenal,5,720
7,Michael Essien,Lyon,5,930
7,Luis García,Liverpool,5,972
