Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,DEP,PAN,HAM,JUV
1,Deportivo La Coruña,6,2,4,0,6,4,+2,10,Advance to second group stage,,—,1–0,2–1,1–1
2,Panathinaikos,6,2,2,2,6,5,+1,8,Advance to second group stage,,1–1,—,0–0,3–1
3,Hamburger SV,6,1,3,2,9,9,0,6,Transfer to UEFA Cup,,1–1,0–1,—,4–4
4,Juventus,6,1,3,2,9,12,−3,6,,,0–0,2–1,1–3,—
