Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Borussia Mönchengladbach,3–3 (a),Real Madrid,2–2,1–1
Benfica,1–5,Bayern Munich,0–0,1–5
Dynamo Kyiv,2–3,Saint-Étienne,2–0,0–3
Hajduk Split,2–3,PSV Eindhoven,2–0,0–3
