Rank,Name,Team,Goals
1,Jupp Heynckes,Borussia Mönchengladbach,6
2,Harry Lubse,PSV Eindhoven,5
2,Roberto Juan Martínez,Real Madrid,5
2,Gerd Müller,Bayern Munich,5
2,Nené,Benfica,5
2,Santillana,Real Madrid,5
2,Slaviša Žungul,Hajduk Split,5
8,Charlie George,Derby County,4
8,Willy van der Kuijlen,PSV Eindhoven,4
8,Jean-Michel Larqué,Saint-Étienne,4
8,Ludwig Schuster,Bayern Munich,4
8,Allan Simonsen,Borussia Mönchengladbach,4
8,Ivica Šurjak,Hajduk Split,4
